epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4973,1.50559,2.68375,1.09536,0.80687,0.47582,0.49993,0.31494,1.2449,1.14225,0.99843,0.000301647,0.000301647,0.000301647
2,93.1703,1.28756,1.2478,0.99646,0.88804,0.54245,0.62666,0.4033,1.1141,0.954,0.95809,0.000584694,0.000584694,0.000584694
3,139.207,1.26789,1.13157,0.98282,0.76525,0.62157,0.7025,0.43799,1.05626,0.8527,0.94236,0.000847743,0.000847743,0.000847743
4,185.463,1.221,1.01018,0.96983,0.73264,0.68673,0.71953,0.4491,1.05185,0.83778,0.93772,0.000819009,0.000819009,0.000819009
5,231.724,1.19456,0.94565,0.96276,0.79386,0.64186,0.72996,0.45748,0.99474,0.78064,0.92767,0.000789012,0.000789012,0.000789012
6,278.972,1.14299,0.91181,0.95147,0.73859,0.66521,0.7379,0.4745,0.95078,0.72319,0.92143,0.000759015,0.000759015,0.000759015
7,324.765,1.10964,0.88446,0.94435,0.7349,0.68692,0.74797,0.47522,0.97903,0.74683,0.91801,0.000729018,0.000729018,0.000729018
8,370.502,1.09601,0.85121,0.9374,0.79506,0.67185,0.74275,0.49107,0.94212,0.72477,0.91762,0.000699021,0.000699021,0.000699021
9,415.789,1.09177,0.83737,0.9378,0.78164,0.67192,0.73896,0.49091,0.92947,0.71812,0.91382,0.000669024,0.000669024,0.000669024
10,461.39,1.06028,0.81,0.93036,0.86733,0.65542,0.75472,0.5018,0.92821,0.71207,0.91011,0.000639027,0.000639027,0.000639027
11,507.048,1.06091,0.78771,0.93063,0.8133,0.70668,0.75491,0.49958,0.91045,0.6861,0.9074,0.00060903,0.00060903,0.00060903
12,552.847,1.02578,0.77924,0.9261,0.79716,0.69521,0.76381,0.50889,0.89392,0.6579,0.90414,0.000579033,0.000579033,0.000579033
13,598.091,1.03408,0.76569,0.92295,0.8509,0.68867,0.76636,0.51237,0.88568,0.67109,0.90118,0.000549036,0.000549036,0.000549036
14,643.82,0.9889,0.75693,0.91489,0.92093,0.67394,0.77255,0.51723,0.88629,0.65605,0.89966,0.000519039,0.000519039,0.000519039
15,689.687,0.97803,0.7191,0.9072,0.84386,0.70804,0.76961,0.51481,0.87058,0.63491,0.89063,0.000489042,0.000489042,0.000489042
16,735.01,0.97515,0.7293,0.90129,0.80992,0.69374,0.76486,0.52069,0.87883,0.62803,0.89539,0.000459045,0.000459045,0.000459045
17,780.976,0.9689,0.70914,0.90856,0.82358,0.67225,0.76442,0.5226,0.82944,0.60304,0.88951,0.000429048,0.000429048,0.000429048
18,827.223,0.9529,0.71872,0.90065,0.84442,0.69791,0.76872,0.52733,0.81767,0.59865,0.88723,0.000399051,0.000399051,0.000399051
19,872.749,0.95151,0.69051,0.90534,0.82176,0.69723,0.76934,0.5304,0.82819,0.59185,0.88761,0.000369054,0.000369054,0.000369054
20,918.123,0.96609,0.69555,0.89866,0.80773,0.70554,0.7766,0.529,0.83126,0.59034,0.88966,0.000339057,0.000339057,0.000339057
21,963.436,0.94677,0.7131,0.90261,0.78192,0.69445,0.76632,0.525,0.83363,0.60937,0.88767,0.00030906,0.00030906,0.00030906
22,1008,0.92783,0.69547,0.89296,0.84735,0.69469,0.76483,0.52861,0.81928,0.59288,0.88606,0.000279063,0.000279063,0.000279063
23,1053.2,0.92215,0.67914,0.90312,0.82701,0.69607,0.7691,0.53304,0.84442,0.58819,0.8869,0.000249066,0.000249066,0.000249066
24,1097.85,0.92693,0.67976,0.88807,0.80863,0.7003,0.76877,0.52889,0.83952,0.5901,0.88553,0.000219069,0.000219069,0.000219069
25,1142.47,0.89128,0.65417,0.8823,0.8067,0.70861,0.77195,0.53806,0.79854,0.56676,0.88232,0.000189072,0.000189072,0.000189072
26,1188.72,0.88306,0.65657,0.88634,0.81468,0.70195,0.77073,0.54148,0.79066,0.564,0.87968,0.000159075,0.000159075,0.000159075
27,1234.87,0.89167,0.64245,0.8904,0.80754,0.70344,0.76893,0.53892,0.79921,0.56873,0.87936,0.000129078,0.000129078,0.000129078
28,1280.93,0.87208,0.63764,0.87859,0.80585,0.70038,0.76919,0.54092,0.79202,0.55446,0.87869,9.9081e-05,9.9081e-05,9.9081e-05
29,1326.82,0.85944,0.63107,0.87864,0.8303,0.69707,0.7685,0.54133,0.79848,0.55749,0.87822,6.9084e-05,6.9084e-05,6.9084e-05
30,1371.8,0.86448,0.63262,0.88814,0.83115,0.70116,0.76814,0.54448,0.78018,0.54897,0.87655,3.9087e-05,3.9087e-05,3.9087e-05
